song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
Unholy (feat. Kim Petras),Sam Smith & Kim Petras,99,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,audio_features,3nqQXoyQOWXiESFLlDF1hG,spotify:track:3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,156943,4,
I'm Good (Blue),David Guetta & Bebe Rexha,98,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,audio_features,4uUG5RXrOk84mYEfFvj3cK,spotify:track:4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,175238,4,
Thank God,Kane Brown & Katelyn Brown,78,0.738,0.455,3,-8.735,1,0.0352,0.695,0,0.107,0.441,99.945,audio_features,1brnLTvarI9D1hLP6z2Ar8,spotify:track:1brnLTvarI9D1hLP6z2Ar8,https://api.spotify.com/v1/tracks/1brnLTvarI9D1hLP6z2Ar8,https://api.spotify.com/v1/audio-analysis/1brnLTvarI9D1hLP6z2Ar8,174560,4,
Thank God,Kane Brown & Katelyn Brown,78,0.738,0.455,3,-8.735,1,0.0352,0.695,0,0.107,0.441,99.945,audio_features,1brnLTvarI9D1hLP6z2Ar8,spotify:track:1brnLTvarI9D1hLP6z2Ar8,https://api.spotify.com/v1/tracks/1brnLTvarI9D1hLP6z2Ar8,https://api.spotify.com/v1/audio-analysis/1brnLTvarI9D1hLP6z2Ar8,174560,4,
Son Of A Sinner,Jelly Roll,77,0.365,0.541,7,-7.489,1,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,audio_features,25VQoiuyc0HkC5FQTj1a8G,spotify:track:25VQoiuyc0HkC5FQTj1a8G,https://api.spotify.com/v1/tracks/25VQoiuyc0HkC5FQTj1a8G,https://api.spotify.com/v1/audio-analysis/25VQoiuyc0HkC5FQTj1a8G,232093,4,
You Proof,Morgan Wallen,86,0.731,0.85,9,-4.913,1,0.0336,0.252,0,0.605,0.644,119.706,audio_features,5uU1uuyaUIBOiiUSQG7Wl3,spotify:track:5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/tracks/5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/audio-analysis/5uU1uuyaUIBOiiUSQG7Wl3,157478,4,
A Thousand Years,Christina Perri,81,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,audio_features,6lanRgr6wXibZr8KgzXxBl,spotify:track:6lanRgr6wXibZr8KgzXxBl,https://api.spotify.com/v1/tracks/6lanRgr6wXibZr8KgzXxBl,https://api.spotify.com/v1/audio-analysis/6lanRgr6wXibZr8KgzXxBl,285120,3,
Everywhere - 2017 Remaster,Fleetwood Mac,78,0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,audio_features,254bXAqt3zP6P50BdQvEsq,spotify:track:254bXAqt3zP6P50BdQvEsq,https://api.spotify.com/v1/tracks/254bXAqt3zP6P50BdQvEsq,https://api.spotify.com/v1/audio-analysis/254bXAqt3zP6P50BdQvEsq,226653,4,
Everywhere - 2017 Remaster,Fleetwood Mac,78,0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,audio_features,254bXAqt3zP6P50BdQvEsq,spotify:track:254bXAqt3zP6P50BdQvEsq,https://api.spotify.com/v1/tracks/254bXAqt3zP6P50BdQvEsq,https://api.spotify.com/v1/audio-analysis/254bXAqt3zP6P50BdQvEsq,226653,4,
Everywhere - 2017 Remaster,Fleetwood Mac,78,0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,audio_features,254bXAqt3zP6P50BdQvEsq,spotify:track:254bXAqt3zP6P50BdQvEsq,https://api.spotify.com/v1/tracks/254bXAqt3zP6P50BdQvEsq,https://api.spotify.com/v1/audio-analysis/254bXAqt3zP6P50BdQvEsq,226653,4,
Left and Right (Feat. Jung Kook of BTS),Charlie Puth & Jung Kook & BTS,93,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,audio_features,0mBP9X2gPCuapvpZ7TGDk3,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,https://api.spotify.com/v1/tracks/0mBP9X2gPCuapvpZ7TGDk3,https://api.spotify.com/v1/audio-analysis/0mBP9X2gPCuapvpZ7TGDk3,154487,4,
She Had Me At Heads Carolina,Cole Swindell,83,0.607,0.912,8,-3.449,1,0.0611,0.124,0,0.332,0.722,134.944,audio_features,200x8ONbPfFzByUr3fVz46,spotify:track:200x8ONbPfFzByUr3fVz46,https://api.spotify.com/v1/tracks/200x8ONbPfFzByUr3fVz46,https://api.spotify.com/v1/audio-analysis/200x8ONbPfFzByUr3fVz46,206107,4,
Fall In Love,Bailey Zimmerman,79,0.524,0.643,9,-6.055,1,0.0297,0.451,0,0.221,0.397,135.962,audio_features,5gVCfYmQRPy1QJifP8f5gg,spotify:track:5gVCfYmQRPy1QJifP8f5gg,https://api.spotify.com/v1/tracks/5gVCfYmQRPy1QJifP8f5gg,https://api.spotify.com/v1/audio-analysis/5gVCfYmQRPy1QJifP8f5gg,232059,4,
Wasted On You,Morgan Wallen,83,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,audio_features,3cBsEDNhFI9E82vPj3kvi3,spotify:track:3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/tracks/3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/audio-analysis/3cBsEDNhFI9E82vPj3kvi3,178520,3,
Wasted On You,Morgan Wallen,83,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,audio_features,3cBsEDNhFI9E82vPj3kvi3,spotify:track:3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/tracks/3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/audio-analysis/3cBsEDNhFI9E82vPj3kvi3,178520,3,
Under The Influence,Chris Brown,96,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,audio_features,5IgjP7X4th6nMNDh4akUHb,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613,4,
The Kind of Love We Make,Luke Combs,82,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,audio_features,28n8z9IQKyjMPxmvYMBqZa,spotify:track:28n8z9IQKyjMPxmvYMBqZa,https://api.spotify.com/v1/tracks/28n8z9IQKyjMPxmvYMBqZa,https://api.spotify.com/v1/audio-analysis/28n8z9IQKyjMPxmvYMBqZa,224427,4,
The Kind of Love We Make,Luke Combs,82,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,audio_features,28n8z9IQKyjMPxmvYMBqZa,spotify:track:28n8z9IQKyjMPxmvYMBqZa,https://api.spotify.com/v1/tracks/28n8z9IQKyjMPxmvYMBqZa,https://api.spotify.com/v1/audio-analysis/28n8z9IQKyjMPxmvYMBqZa,224427,4,
The Kind of Love We Make,Luke Combs,82,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,audio_features,28n8z9IQKyjMPxmvYMBqZa,spotify:track:28n8z9IQKyjMPxmvYMBqZa,https://api.spotify.com/v1/tracks/28n8z9IQKyjMPxmvYMBqZa,https://api.spotify.com/v1/audio-analysis/28n8z9IQKyjMPxmvYMBqZa,224427,4,
Life is a Highway,Rascal Flatts,76,0.582,0.952,5,-3.848,1,0.0731,0.00324,0,0.223,0.655,103.027,audio_features,2Fs18NaCDuluPG1DHGw1XG,spotify:track:2Fs18NaCDuluPG1DHGw1XG,https://api.spotify.com/v1/tracks/2Fs18NaCDuluPG1DHGw1XG,https://api.spotify.com/v1/audio-analysis/2Fs18NaCDuluPG1DHGw1XG,276320,4,
Super Freaky Girl,Nicki Minaj,93,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,audio_features,4C6Uex2ILwJi9sZXRdmqXp,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/tracks/4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/audio-analysis/4C6Uex2ILwJi9sZXRdmqXp,170977,4,
Super Freaky Girl,Nicki Minaj,93,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,audio_features,4C6Uex2ILwJi9sZXRdmqXp,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/tracks/4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/audio-analysis/4C6Uex2ILwJi9sZXRdmqXp,170977,4,
Shivers,Ed Sheeran,88,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,audio_features,50nfwKoDiSYg8zOCREWAm5,spotify:track:50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/tracks/50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/audio-analysis/50nfwKoDiSYg8zOCREWAm5,207853,4,
As It Was,Harry Styles,96,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7,167303,4,
Shallow,Lady Gaga & Bradley Cooper,85,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,audio_features,2VxeLyX666F8uXCJ0dZF8B,spotify:track:2VxeLyX666F8uXCJ0dZF8B,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,215733,4,
Celestial,Ed Sheeran,83,0.574,0.852,2,-1.248,1,0.0397,0.0529,0,0.161,0.501,123.038,audio_features,4zrKN5Sv8JS5mqnbVcsul7,spotify:track:4zrKN5Sv8JS5mqnbVcsul7,https://api.spotify.com/v1/tracks/4zrKN5Sv8JS5mqnbVcsul7,https://api.spotify.com/v1/audio-analysis/4zrKN5Sv8JS5mqnbVcsul7,209027,4,
Celestial,Ed Sheeran,83,0.574,0.852,2,-1.248,1,0.0397,0.0529,0,0.161,0.501,123.038,audio_features,4zrKN5Sv8JS5mqnbVcsul7,spotify:track:4zrKN5Sv8JS5mqnbVcsul7,https://api.spotify.com/v1/tracks/4zrKN5Sv8JS5mqnbVcsul7,https://api.spotify.com/v1/audio-analysis/4zrKN5Sv8JS5mqnbVcsul7,209027,4,
Celestial,Ed Sheeran,83,0.574,0.852,2,-1.248,1,0.0397,0.0529,0,0.161,0.501,123.038,audio_features,4zrKN5Sv8JS5mqnbVcsul7,spotify:track:4zrKN5Sv8JS5mqnbVcsul7,https://api.spotify.com/v1/tracks/4zrKN5Sv8JS5mqnbVcsul7,https://api.spotify.com/v1/audio-analysis/4zrKN5Sv8JS5mqnbVcsul7,209027,4,
Sunroof,Nicky Youre & dazy,93,0.768,0.714,10,-5.11,1,0.0401,0.352,0,0.15,0.842,131.443,audio_features,4h4QlmocP3IuwYEj2j14p8,spotify:track:4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/tracks/4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/audio-analysis/4h4QlmocP3IuwYEj2j14p8,163026,4,
Fingers Crossed,Lauren Spencer Smith,82,0.56,0.473,5,-7.23,1,0.0533,0.618,0,0.31,0.441,109.414,audio_features,3yMC1KsTwh0ceXdIe4QQAQ,spotify:track:3yMC1KsTwh0ceXdIe4QQAQ,https://api.spotify.com/v1/tracks/3yMC1KsTwh0ceXdIe4QQAQ,https://api.spotify.com/v1/audio-analysis/3yMC1KsTwh0ceXdIe4QQAQ,175345,4,
KICK BACK,Kenshi Yonezu,0,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,audio_features,3khEEPRyBeOUabbmOPJzAG,spotify:track:3khEEPRyBeOUabbmOPJzAG,https://api.spotify.com/v1/tracks/3khEEPRyBeOUabbmOPJzAG,https://api.spotify.com/v1/audio-analysis/3khEEPRyBeOUabbmOPJzAG,193495,4,
