song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
California Breeze,Lil Baby,0,0.738,0.666,5,-6.97,0,0.455,0.00361,0,0.107,0.215,161.734,audio_features,6ug9fUi5oLLgQgOF1G8WkM,spotify:track:6ug9fUi5oLLgQgOF1G8WkM,https://api.spotify.com/v1/tracks/6ug9fUi5oLLgQgOF1G8WkM,https://api.spotify.com/v1/audio-analysis/6ug9fUi5oLLgQgOF1G8WkM,177789,4
Bye Bye,Marshmello & Juice WRLD,0,0.645,0.525,3,-5.399,0,0.0355,0.0574,0,0.505,0.238,83.018,audio_features,6XO8RlYuJCiI0v3IA48FeJ,spotify:track:6XO8RlYuJCiI0v3IA48FeJ,https://api.spotify.com/v1/tracks/6XO8RlYuJCiI0v3IA48FeJ,https://api.spotify.com/v1/audio-analysis/6XO8RlYuJCiI0v3IA48FeJ,108499,4
Poland,Lil Yachty,75,0.695,0.555,5,-8.5,0,0.0509,0.141,0.826,0.11,0.26,150.024,audio_features,74loibzxXRL875X20kenvk,spotify:track:74loibzxXRL875X20kenvk,https://api.spotify.com/v1/tracks/74loibzxXRL875X20kenvk,https://api.spotify.com/v1/audio-analysis/74loibzxXRL875X20kenvk,83200,4
Backstage Passes (feat. Jack Harlow),EST Gee & Jack Harlow,77,0.855,0.478,1,-8.31,1,0.345,0.145,0,0.101,0.536,153.074,audio_features,2BSl2gSFHdzJAMus74qzNj,spotify:track:2BSl2gSFHdzJAMus74qzNj,https://api.spotify.com/v1/tracks/2BSl2gSFHdzJAMus74qzNj,https://api.spotify.com/v1/audio-analysis/2BSl2gSFHdzJAMus74qzNj,158431,4
Blow,Moneybagg Yo,76,0.815,0.742,11,-4.896,0,0.245,0.0579,0,0.345,0.584,137.036,audio_features,2g3qKijfeHfDyM7Fmaoi5M,spotify:track:2g3qKijfeHfDyM7Fmaoi5M,https://api.spotify.com/v1/tracks/2g3qKijfeHfDyM7Fmaoi5M,https://api.spotify.com/v1/audio-analysis/2g3qKijfeHfDyM7Fmaoi5M,182533,4
Gucci Flow (feat. Finesse2tymes),Gucci Mane & Finesse2tymes,0,0.871,0.695,1,-5.456,1,0.266,0.0694,0,0.185,0.295,129.99,audio_features,1oqXQ2ghTORGDAkeLwkIDD,spotify:track:1oqXQ2ghTORGDAkeLwkIDD,https://api.spotify.com/v1/tracks/1oqXQ2ghTORGDAkeLwkIDD,https://api.spotify.com/v1/audio-analysis/1oqXQ2ghTORGDAkeLwkIDD,131120,4
Not Finished,Lil Baby,0,0.785,0.524,1,-7.004,1,0.122,0.0123,0,0.365,0.0855,142.007,audio_features,2A0G0bPmlkUXUbvWqrAXzg,spotify:track:2A0G0bPmlkUXUbvWqrAXzg,https://api.spotify.com/v1/tracks/2A0G0bPmlkUXUbvWqrAXzg,https://api.spotify.com/v1/audio-analysis/2A0G0bPmlkUXUbvWqrAXzg,163454,4
My Friends (feat. Lil Durk),Ty Dolla $ign & Mustard & Lil Durk,71,0.633,0.478,8,-8.039,1,0.044,0.0558,0,0.202,0.441,169.961,audio_features,0wTTf3msjDJ8NcZGTmQJQV,spotify:track:0wTTf3msjDJ8NcZGTmQJQV,https://api.spotify.com/v1/tracks/0wTTf3msjDJ8NcZGTmQJQV,https://api.spotify.com/v1/audio-analysis/0wTTf3msjDJ8NcZGTmQJQV,158168,4
Stop Breathing,Roddy Ricch,77,0.586,0.689,0,-6.04,1,0.425,0.0434,0,0.184,0.456,158.457,audio_features,6mM8gri8d2abYYomjOV4ut,spotify:track:6mM8gri8d2abYYomjOV4ut,https://api.spotify.com/v1/tracks/6mM8gri8d2abYYomjOV4ut,https://api.spotify.com/v1/audio-analysis/6mM8gri8d2abYYomjOV4ut,110707,4
9 Lives (feat. Polo G & NLE Choppa),DDG & Polo G & NLE Choppa,72,0.577,0.533,5,-8.871,0,0.501,0.0957,0,0.127,0.799,160.088,audio_features,6DVJ7Aqbml1X3wGxxV5QH5,spotify:track:6DVJ7Aqbml1X3wGxxV5QH5,https://api.spotify.com/v1/tracks/6DVJ7Aqbml1X3wGxxV5QH5,https://api.spotify.com/v1/audio-analysis/6DVJ7Aqbml1X3wGxxV5QH5,228000,4
G Nikes (feat. Polo G),Nardo Wick & Polo G,0,0.808,0.644,1,-6.167,1,0.329,0.0716,0,0.085,0.512,151.098,audio_features,7asQMsxC6dNgY0inCzJC5O,spotify:track:7asQMsxC6dNgY0inCzJC5O,https://api.spotify.com/v1/tracks/7asQMsxC6dNgY0inCzJC5O,https://api.spotify.com/v1/audio-analysis/7asQMsxC6dNgY0inCzJC5O,206968,4
Ghetto Superstar (feat. G Herbo & Doe Boy),Roddy Ricch & G Herbo & Doe Boy,75,0.704,0.62,9,-7.267,0,0.362,0.0686,0,0.144,0.383,157.093,audio_features,5QdVpZhASstTN4BBwglPz6,spotify:track:5QdVpZhASstTN4BBwglPz6,https://api.spotify.com/v1/tracks/5QdVpZhASstTN4BBwglPz6,https://api.spotify.com/v1/audio-analysis/5QdVpZhASstTN4BBwglPz6,244840,4
Tomorrow 2 (with Cardi B),GloRilla & Cardi B,79,0.791,0.818,0,-3.93,1,0.406,0.0695,0,0.114,0.693,159.922,audio_features,7KXVIAuw3m2hxZanrpSXS3,spotify:track:7KXVIAuw3m2hxZanrpSXS3,https://api.spotify.com/v1/tracks/7KXVIAuw3m2hxZanrpSXS3,https://api.spotify.com/v1/audio-analysis/7KXVIAuw3m2hxZanrpSXS3,209811,4
To The Bone (feat. YoungBoy Never Broke Again),Quavo & Takeoff & YoungBoy Never Broke Again,72,0.899,0.582,11,-7.275,0,0.264,0.0395,0,0.1,0.505,149.973,audio_features,4wRJHXHDJnKSPr9IVn0BFR,spotify:track:4wRJHXHDJnKSPr9IVn0BFR,https://api.spotify.com/v1/tracks/4wRJHXHDJnKSPr9IVn0BFR,https://api.spotify.com/v1/audio-analysis/4wRJHXHDJnKSPr9IVn0BFR,283196,4
